epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
187,0.3805418,0.23311642,0.1044137,0.5023861,3760.0,-4.7738953,0.71500003,18800.0,0.19899999
188,0.38055,0.23308381,0.10440876,0.50240695,3780.0,-4.795423,0.76,18900.0,0.21000001
189,0.38053945,0.23307046,0.10440503,0.50242877,3800.0,-4.371826,0.78999996,19000.0,0.18100001
190,0.38055807,0.23307016,0.104400754,0.50245315,3820.0,-4.3874445,0.8,19100.0,0.169
191,0.38056847,0.23306473,0.10439239,0.50248337,3840.0,-4.4378157,0.78499997,19200.0,0.205
192,0.38055137,0.23305729,0.10439028,0.5025088,3860.0,-5.04644,0.745,19300.0,0.20199999
193,0.38055944,0.23306438,0.10438691,0.50254023,3880.0,-4.92996,0.715,19400.0,0.175
194,0.38054878,0.2330633,0.104386784,0.5025706,3900.0,-5.426127,0.79499996,19500.0,0.19600001
195,0.38054937,0.2330496,0.10439037,0.5026024,3920.0,-5.186841,0.8,19600.0,0.21100001
196,0.3805317,0.23302808,0.104390465,0.50262815,3940.0,-5.087719,0.795,19700.0,0.20600002
197,0.38055548,0.23301002,0.10439466,0.5026482,3960.0,-4.4546065,0.785,19800.0,0.20199999
198,0.38055912,0.23301084,0.104396656,0.5026735,3980.0,-4.643855,0.775,19900.0,0.187
199,0.38053912,0.23302034,0.10439889,0.50270367,4000.0,-4.0827317,0.805,20000.0,0.205
